location,total_cases,total_deaths,total_vaccinations,population,Mortality Rate (%),Vaccination Rate (%)
Switzerland,2220539.0,12708.0,15318268.0,8740471.0,0.57,175.26
Syria,51402.0,2989.0,2974507.0,22125242.0,5.81,13.44
Taiwan,18790.0,851.0,41984449.0,23893396.0,4.53,175.72
Tajikistan,17706.0,125.0,8305260.0,9952789.0,0.71,83.45
Tanzania,33230.0,789.0,3226750.0,65497752.0,2.37,4.93
Thailand,2440542.0,22173.0,116749385.0,71697024.0,0.91,162.84
Timor,19946.0,122.0,1237678.0,1341298.0,0.61,92.27
Togo,36491.0,268.0,2515341.0,8848700.0,0.73,28.43
Tokelau,0.0,0.0,1936.0,1893.0,,102.27
Tonga,1.0,0.0,138684.0,106867.0,0.0,129.77
Trinidad and Tobago,111549.0,3404.0,1480799.0,1531043.0,3.05,96.72
Tunisia,909813.0,26288.0,12757250.0,12356116.0,2.89,103.25
Turkey,11619882.0,87416.0,141981790.0,85341248.0,0.75,166.37
Turkmenistan,0.0,0.0,51746.0,6430777.0,,0.8
Turks and Caicos Islands,5727.0,34.0,56343.0,45726.0,0.59,123.22
Tuvalu,0.0,0.0,12114.0,11335.0,,106.87
Uganda,161839.0,3533.0,12911692.0,47249588.0,2.18,27.33
Ukraine,4255206.0,106880.0,30366236.0,39701744.0,2.51,76.49
United Arab Emirates,845058.0,2243.0,23502501.0,9441138.0,0.27,248.94
United Kingdom,17315893.0,184106.0,138143343.0,67508936.0,1.06,204.63
United States,75244090.0,888942.0,550116547.0,338289856.0,1.18,162.62
United States Virgin Islands,0.0,0.0,0.0,99479.0,,0.0
Upper middle income,98672197.0,2259889.0,4503911791.0,2525921300.0,2.29,178.31
Uruguay,668425.0,6479.0,7437334.0,3422796.0,0.97,217.29
Uzbekistan,223008.0,1564.0,40165642.0,34627648.0,0.7,115.99
Vanuatu,7.0,1.0,178464.0,326744.0,14.29,54.62
Vatican,29.0,0.0,0.0,808.0,0.0,0.0
Venezuela,485974.0,5447.0,35352675.0,28301700.0,1.12,124.91
Vietnam,2275727.0,37777.0,181280001.0,98186856.0,1.66,184.63
Wales,0.0,0.0,6768192.0,3170000.0,,213.51
Wallis and Futuna,454.0,7.0,12287.0,11596.0,1.54,105.96
World,379168986.0,5707833.0,10084493601.0,7975105024.0,1.51,126.45
Yemen,11019.0,2012.0,744060.0,33696612.0,18.26,2.21
Zambia,305047.0,3917.0,2386312.0,20017670.0,1.28,11.92
Zimbabwe,229666.0,5338.0,7632514.0,16320539.0,2.32,46.77
